"filename", "language", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"d:\4 personal\downloopy\.eslintrc.json", "JSON", 13, 0, 0, 0, 1, 14
"d:\4 personal\downloopy\.jshintrc", "JSON", 61, 0, 0, 48, 10, 119
"d:\4 personal\downloopy\.version.json", "JSON", 12, 0, 0, 0, 0, 12
"d:\4 personal\downloopy\app.js", "JavaScript", 0, 16, 0, 2, 6, 24
"d:\4 personal\downloopy\app\download.app.js", "JavaScript", 0, 56, 0, 13, 22, 91
"d:\4 personal\downloopy\app\old\app-old-1.js", "JavaScript", 0, 23, 0, 45, 10, 78
"d:\4 personal\downloopy\app\old\app-old-2.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\4 personal\downloopy\app\old\app-old-3.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\4 personal\downloopy\app\old\app-old-4.js", "JavaScript", 0, 157, 0, 74, 49, 280
"d:\4 personal\downloopy\app\old\for_loop.js", "JavaScript", 0, 17, 0, 3, 6, 26
"d:\4 personal\downloopy\app\old\if_cond.js", "JavaScript", 0, 17, 0, 3, 5, 25
"d:\4 personal\downloopy\app\old\pages.js", "JavaScript", 0, 101, 0, 0, 9, 110
"d:\4 personal\downloopy\app\old\test.js", "JavaScript", 0, 536, 0, 10, 43, 589
"d:\4 personal\downloopy\app\pdfing.app.js", "JavaScript", 0, 40, 0, 4, 13, 57
"d:\4 personal\downloopy\bin\file_stream\stream.js", "JavaScript", 0, 60, 0, 29, 7, 96
"d:\4 personal\downloopy\bin\fs_read_write_array\test.js", "JavaScript", 0, 1, 0, 0, 0, 1
"d:\4 personal\downloopy\bin\fs_read_write_array\writefile.js", "JavaScript", 0, 18, 0, 2, 4, 24
"d:\4 personal\downloopy\bin\sync_async\sync_async.js", "JavaScript", 0, 5, 0, 2, 0, 7
"d:\4 personal\downloopy\controllers\app.controllers.js", "JavaScript", 0, 83, 0, 35, 31, 149
"d:\4 personal\downloopy\data\imgs_num_format.js", "JavaScript", 0, 6, 0, 5, 0, 11
"d:\4 personal\downloopy\package-lock.json", "JSON", 6114, 0, 0, 0, 1, 6115
"d:\4 personal\downloopy\package.json", "JSON", 45, 0, 0, 0, 1, 46
"d:\4 personal\downloopy\public\index.html", "HTML", 0, 0, 82, 4, 18, 104
"d:\4 personal\downloopy\routes\app.routes.js", "JavaScript", 0, 7, 0, 2, 3, 12
"d:\4 personal\downloopy\scripts\request_page.js", "JavaScript", 0, 35, 0, 3, 8, 46
"d:\4 personal\downloopy\scripts\worker.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\4 personal\downloopy\services\fs_push_download_test_sample\download.test.dev.json", "JSON", 41, 0, 0, 0, 0, 41
"d:\4 personal\downloopy\services\fs_push_download_test_sample\fs_push_download_test_sample.js", "JavaScript", 0, 23, 0, 6, 10, 39
"d:\4 personal\downloopy\tests\Qnl.book.pages.imgs.js", "JavaScript", 0, 636, 0, 25, 61, 722
"d:\4 personal\downloopy\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 40, 0, 5, 14, 59
"d:\4 personal\downloopy\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 56, 0, 13, 23, 92
"d:\4 personal\downloopy\tests\dar.bibalex.pages.imgs.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\4 personal\downloopy\tests\samples\download.test.json", "JSON", 50, 0, 0, 0, 0, 50
"d:\4 personal\downloopy\tests\samples\pdfing.test.json", "JSON", 12, 0, 0, 0, 0, 12
"Total", "-", 6348, 2391, 82, 335, 413, 9569
