Date : 2022-03-20 20:03:01
Directory : d:\personal\downloopy
Total : 66 files,  33153 codes, 711 comments, 811 blanks, all 34675 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Log          |         11 |     25,728 |          0 |         11 |     25,739 |
| JavaScript   |         36 |      3,172 |        598 |        593 |      4,363 |
| JSON         |          8 |      3,088 |         48 |         13 |      3,149 |
| HTML         |          8 |        699 |         25 |        162 |        886 |
| CSS          |          2 |        412 |          6 |         20 |        438 |
| Shell Script |          1 |         54 |         34 |         12 |        100 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         66 |     33,153 |        711 |        811 |     34,675 |
| app                                                                                         |         12 |      1,625 |        307 |        291 |      2,223 |
| app\old                                                                                     |         10 |      1,529 |        290 |        256 |      2,075 |
| bin                                                                                         |         10 |        260 |        107 |         63 |        430 |
| bin\file_stream                                                                             |          1 |         60 |         29 |          7 |         96 |
| bin\fs_read_write_array                                                                     |          2 |         19 |          2 |          4 |         25 |
| bin\get_all_dom_elements                                                                    |          1 |         16 |          4 |          5 |         25 |
| bin\move_chosen_files                                                                       |          1 |         56 |         11 |         11 |         78 |
| bin\sync_async                                                                              |          1 |          5 |          2 |          0 |          7 |
| bin\url_numbers_generator                                                                   |          2 |         43 |         45 |         16 |        104 |
| bin\url_parser                                                                              |          1 |         61 |         14 |         19 |         94 |
| controllers                                                                                 |          2 |        347 |        125 |         92 |        564 |
| data                                                                                        |          1 |          6 |          5 |          0 |         11 |
| debug                                                                                       |         10 |     25,727 |          0 |         10 |     25,737 |
| public                                                                                      |          7 |        845 |         18 |        107 |        970 |
| public\comps                                                                                |          1 |         16 |          0 |          1 |         17 |
| public\css                                                                                  |          2 |        412 |          6 |         20 |        438 |
| public\js                                                                                   |          1 |         88 |          0 |         12 |        100 |
| routes                                                                                      |          1 |         15 |          1 |          7 |         23 |
| scripts                                                                                     |          2 |         35 |          3 |          9 |         47 |
| services                                                                                    |          5 |        129 |         40 |         26 |        195 |
| services\fs_push_download_test_sample                                                       |          2 |         64 |          6 |         10 |         80 |
| services\shrinkPDF                                                                          |          1 |         54 |         34 |         12 |        100 |
| tests                                                                                       |          6 |        794 |         43 |         99 |        936 |
| tests\samples                                                                               |          2 |         62 |          0 |          0 |         62 |
| views                                                                                       |          4 |        354 |         13 |         87 |        454 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                    | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\personal\downloopy\.eslintrc.json                                                        | JSON         |         13 |          0 |          1 |         14 |
| d:\personal\downloopy\.jshintrc                                                             | JSON         |         61 |         48 |         10 |        119 |
| d:\personal\downloopy\.version.json                                                         | JSON         |         14 |          0 |          0 |         14 |
| d:\personal\downloopy\app.js                                                                | JavaScript   |         31 |          1 |          7 |         39 |
| d:\personal\downloopy\app\download.app.js                                                   | JavaScript   |         56 |         13 |         22 |         91 |
| d:\personal\downloopy\app\old\app-old-1.js                                                  | JavaScript   |         23 |         45 |         10 |         78 |
| d:\personal\downloopy\app\old\app-old-2.js                                                  | JavaScript   |        229 |          1 |         28 |        258 |
| d:\personal\downloopy\app\old\app-old-3.js                                                  | JavaScript   |        229 |          1 |         28 |        258 |
| d:\personal\downloopy\app\old\app-old-4.js                                                  | JavaScript   |        157 |         74 |         49 |        280 |
| d:\personal\downloopy\app\old\app-old-5.js                                                  | JavaScript   |         87 |         72 |         39 |        198 |
| d:\personal\downloopy\app\old\app-try.js                                                    | JavaScript   |        133 |         81 |         39 |        253 |
| d:\personal\downloopy\app\old\for_loop.js                                                   | JavaScript   |         17 |          3 |          6 |         26 |
| d:\personal\downloopy\app\old\if_cond.js                                                    | JavaScript   |         17 |          3 |          5 |         25 |
| d:\personal\downloopy\app\old\pages.js                                                      | JavaScript   |        101 |          0 |          9 |        110 |
| d:\personal\downloopy\app\old\test.js                                                       | JavaScript   |        536 |         10 |         43 |        589 |
| d:\personal\downloopy\app\pdfing.app.js                                                     | JavaScript   |         40 |          4 |         13 |         57 |
| d:\personal\downloopy\bin\file_stream\stream.js                                             | JavaScript   |         60 |         29 |          7 |         96 |
| d:\personal\downloopy\bin\fs_read_write_array\test.js                                       | JavaScript   |          1 |          0 |          0 |          1 |
| d:\personal\downloopy\bin\fs_read_write_array\writefile.js                                  | JavaScript   |         18 |          2 |          4 |         24 |
| d:\personal\downloopy\bin\get_all_dom_elements\get_all_dom_elements.js                      | JavaScript   |         16 |          4 |          5 |         25 |
| d:\personal\downloopy\bin\index.js                                                          | JavaScript   |          0 |          0 |          1 |          1 |
| d:\personal\downloopy\bin\move_chosen_files\move_chosen_files.js                            | JavaScript   |         56 |         11 |         11 |         78 |
| d:\personal\downloopy\bin\sync_async\sync_async.js                                          | JavaScript   |          5 |          2 |          0 |          7 |
| d:\personal\downloopy\bin\url_numbers_generator\normal_pattern.js                           | JavaScript   |         10 |          0 |          2 |         12 |
| d:\personal\downloopy\bin\url_numbers_generator\zeros_pattern.js                            | JavaScript   |         33 |         45 |         14 |         92 |
| d:\personal\downloopy\bin\url_parser\url-parser.js                                          | JavaScript   |         61 |         14 |         19 |         94 |
| d:\personal\downloopy\controllers\app.controllers.js                                        | JavaScript   |        347 |         49 |         85 |        481 |
| d:\personal\downloopy\controllers\comments.controller.js                                    | JavaScript   |          0 |         76 |          7 |         83 |
| d:\personal\downloopy\data\imgs_num_format.js                                               | JavaScript   |          6 |          5 |          0 |         11 |
| d:\personal\downloopy\debug\debug-1644274451870.log                                         | Log          |        111 |          0 |          1 |        112 |
| d:\personal\downloopy\debug\debug-1644289221463.log                                         | Log          |      3,030 |          0 |          1 |      3,031 |
| d:\personal\downloopy\debug\debug-1647439025906.log                                         | Log          |      1,194 |          0 |          1 |      1,195 |
| d:\personal\downloopy\debug\debug-1647439401702.log                                         | Log          |      1,437 |          0 |          1 |      1,438 |
| d:\personal\downloopy\debug\debug-1647792925580.log                                         | Log          |      9,503 |          0 |          1 |      9,504 |
| d:\personal\downloopy\debug\debug-1647793108120.log                                         | Log          |      9,503 |          0 |          1 |      9,504 |
| d:\personal\downloopy\debug\debug-1647794209716.log                                         | Log          |        179 |          0 |          1 |        180 |
| d:\personal\downloopy\debug\debug-1647796558918.log                                         | Log          |         78 |          0 |          1 |         79 |
| d:\personal\downloopy\debug\debug-1647796617718.log                                         | Log          |        296 |          0 |          1 |        297 |
| d:\personal\downloopy\debug\debug-1647797668145.log                                         | Log          |        396 |          0 |          1 |        397 |
| d:\personal\downloopy\package-lock.json                                                     | JSON         |      2,847 |          0 |          1 |      2,848 |
| d:\personal\downloopy\package.json                                                          | JSON         |         50 |          0 |          1 |         51 |
| d:\personal\downloopy\public\comps\tabs.html                                                | HTML         |         16 |          0 |          1 |         17 |
| d:\personal\downloopy\public\css\main.css                                                   | CSS          |        382 |          6 |         16 |        404 |
| d:\personal\downloopy\public\css\tabs.css                                                   | CSS          |         30 |          0 |          4 |         34 |
| d:\personal\downloopy\public\download.html                                                  | HTML         |        244 |         11 |         55 |        310 |
| d:\personal\downloopy\public\js\main.js                                                     | JavaScript   |         88 |          0 |         12 |        100 |
| d:\personal\downloopy\public\pdf.html                                                       | HTML         |         57 |          0 |         12 |         69 |
| d:\personal\downloopy\public\url_parser.html                                                | HTML         |         28 |          1 |          7 |         36 |
| d:\personal\downloopy\routes\app.routes.js                                                  | JavaScript   |         15 |          1 |          7 |         23 |
| d:\personal\downloopy\scripts\request_page.js                                               | JavaScript   |         35 |          3 |          8 |         46 |
| d:\personal\downloopy\scripts\worker.js                                                     | JavaScript   |          0 |          0 |          1 |          1 |
| d:\personal\downloopy\services\debug.log                                                    | Log          |          1 |          0 |          1 |          2 |
| d:\personal\downloopy\services\file-console-log.js                                          | JavaScript   |         10 |          0 |          3 |         13 |
| d:\personal\downloopy\services\fs_push_download_test_sample\download.test.dev.json          | JSON         |         41 |          0 |          0 |         41 |
| d:\personal\downloopy\services\fs_push_download_test_sample\fs_push_download_test_sample.js | JavaScript   |         23 |          6 |         10 |         39 |
| d:\personal\downloopy\services\shrinkPDF\shrinkpdf.sh                                       | Shell Script |         54 |         34 |         12 |        100 |
| d:\personal\downloopy\tests\Qnl.book.pages.imgs.js                                          | JavaScript   |        636 |         25 |         61 |        722 |
| d:\personal\downloopy\tests\Slideshare.slide.imgs.js                                        | JavaScript   |         40 |          5 |         14 |         59 |
| d:\personal\downloopy\tests\archive.alsharekh.pages.imges.js                                | JavaScript   |         56 |         13 |         23 |         92 |
| d:\personal\downloopy\tests\dar.bibalex.pages.imgs.js                                       | JavaScript   |          0 |          0 |          1 |          1 |
| d:\personal\downloopy\tests\samples\download.test.json                                      | JSON         |         50 |          0 |          0 |         50 |
| d:\personal\downloopy\tests\samples\pdfing.test.json                                        | JSON         |         12 |          0 |          0 |         12 |
| d:\personal\downloopy\views\download.ejs                                                    | HTML         |        277 |         12 |         62 |        351 |
| d:\personal\downloopy\views\input_parser.ejs                                                | HTML         |         28 |          0 |          8 |         36 |
| d:\personal\downloopy\views\path_parser.ejs                                                 | HTML         |         31 |          1 |         10 |         42 |
| d:\personal\downloopy\views\url_parser.ejs                                                  | HTML         |         18 |          0 |          7 |         25 |
| Total                                                                                       |              |     33,153 |        711 |        811 |     34,675 |
+---------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
