"filename", "language", "HTML", "JSON", "Log", "JavaScript", "Shell Script", "CSS", "comment", "blank", "total"
"d:\projects_personal\downloopy-master\.eslintrc.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\projects_personal\downloopy-master\.jshintrc", "JSON", 0, 61, 0, 0, 0, 0, 48, 10, 119
"d:\projects_personal\downloopy-master\.version.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 19
"d:\projects_personal\downloopy-master\app.js", "JavaScript", 0, 0, 0, 31, 0, 0, 1, 7, 39
"d:\projects_personal\downloopy-master\app\download.app.js", "JavaScript", 0, 0, 0, 56, 0, 0, 13, 22, 91
"d:\projects_personal\downloopy-master\app\old\app-old-1.js", "JavaScript", 0, 0, 0, 23, 0, 0, 45, 10, 78
"d:\projects_personal\downloopy-master\app\old\app-old-2.js", "JavaScript", 0, 0, 0, 229, 0, 0, 1, 28, 258
"d:\projects_personal\downloopy-master\app\old\app-old-3.js", "JavaScript", 0, 0, 0, 229, 0, 0, 1, 28, 258
"d:\projects_personal\downloopy-master\app\old\app-old-4.js", "JavaScript", 0, 0, 0, 157, 0, 0, 74, 49, 280
"d:\projects_personal\downloopy-master\app\old\app-old-5.js", "JavaScript", 0, 0, 0, 87, 0, 0, 72, 39, 198
"d:\projects_personal\downloopy-master\app\old\app-try.js", "JavaScript", 0, 0, 0, 133, 0, 0, 81, 39, 253
"d:\projects_personal\downloopy-master\app\old\for_loop.js", "JavaScript", 0, 0, 0, 17, 0, 0, 3, 6, 26
"d:\projects_personal\downloopy-master\app\old\if_cond.js", "JavaScript", 0, 0, 0, 17, 0, 0, 3, 5, 25
"d:\projects_personal\downloopy-master\app\old\pages.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 9, 110
"d:\projects_personal\downloopy-master\app\old\test.js", "JavaScript", 0, 0, 0, 536, 0, 0, 10, 43, 589
"d:\projects_personal\downloopy-master\app\pdfing.app.js", "JavaScript", 0, 0, 0, 40, 0, 0, 4, 13, 57
"d:\projects_personal\downloopy-master\bin\file_stream\stream.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\projects_personal\downloopy-master\bin\fs_read_write_array\test.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects_personal\downloopy-master\bin\fs_read_write_array\writefile.js", "JavaScript", 0, 0, 0, 18, 0, 0, 2, 4, 24
"d:\projects_personal\downloopy-master\bin\get_all_dom_elements\get_all_dom_elements.js", "JavaScript", 0, 0, 0, 16, 0, 0, 4, 5, 25
"d:\projects_personal\downloopy-master\bin\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects_personal\downloopy-master\bin\move_chosen_files\move_chosen_files.js", "JavaScript", 0, 0, 0, 56, 0, 0, 11, 11, 78
"d:\projects_personal\downloopy-master\bin\scraper\scraper.js", "JavaScript", 0, 0, 0, 14, 0, 0, 3, 4, 21
